theta_true,carelessness,guessiness,testwiseness,score,score_pct,theta_post
0.6815520341725763,0.011885411249800894,0.09879208282635077,-0.38387934056617856,57.0,71.25,0.5061888014716526
-0.4975126689380449,0.001732729248118459,0.01907377249370293,-0.3950378626775156,42.0,52.5,-0.5493347266030881
0.2309466931013433,0.013996381045980753,0.1600107407652027,-0.4240322105950696,55.0,68.75,0.32928617295398094
-0.16198210859061923,0.0159035834515612,0.11643482127438304,-0.4700101291680715,50.0,62.5,-0.0907968874850999
-0.17091907749256308,0.012016334299007995,0.005030967172412735,-0.7195545110442401,46.0,57.5,-0.303488377993148
3.0717731711235774,0.012697135925851845,0.059567241298571695,-0.2962645210409416,74.0,92.5,2.1017852855433437
0.41831673305569517,0.003539039097167816,0.019894379309683245,-0.525550978580914,63.0,78.75,1.0116324962443533
0.2880155663894146,0.0072243930323741745,0.1028462555773039,-0.14808557583962711,53.0,66.25,0.11352577319271744
0.5646733178533014,0.016440118297282227,0.030920900004622432,-0.3379980255909599,61.0,76.25,0.7705173995949867
-0.03469753112413443,0.0016302078239036296,0.11791870072142688,-0.4650675225474137,48.0,60.0,-0.21038316888520686
-0.025739813086794516,0.019384770606675338,0.13391795814468066,-0.6531874689727674,52.0,65.0,0.15197387677984256
-0.2197603954653693,0.009849364696606987,0.03368902510397364,-0.3970375128976513,51.0,63.75,0.030707127225236802
0.17007498112953057,0.016692237049786156,0.05606942663539996,-0.4828387480648042,47.0,58.75,-0.31614264904455075
-0.6714946074838855,0.010440085337828855,0.022128153880471502,-0.59561472969697,46.0,57.5,-0.31319513682050415
0.5331680802386054,0.014982816363851417,0.04759007796839017,-0.2704727603514731,56.0,70.0,0.3422874962675386
0.3869393342962564,0.00732401020671971,0.19357107461843945,-0.18595634366389135,63.0,78.75,0.998188711386669
-0.2370850893982812,0.010440293944757892,0.053611287233032406,-0.4900702650584161,55.0,68.75,0.344055917225221
0.13841201227709643,0.010398227811708204,0.10097863046555136,-0.08139919740431312,47.0,58.75,-0.15839499458635017
0.4668749418420184,0.006646750353838502,0.1004785234925762,-0.4638557202027373,61.0,76.25,0.6161986657725149
0.40025372790231106,0.005332899925241109,0.11386206983382643,-0.5849979669367855,59.0,73.75,0.6155693116962455
0.029837280628997043,0.006199241177631971,0.021117256279616067,-0.5818740967809166,56.0,70.0,0.35171310732123057
0.19109106199064607,0.009049916731528811,0.07504801601963612,-0.31065981390797004,51.0,63.75,-0.037197070613793196
-0.3591955686706578,0.015281020633214508,0.050090752875232625,-0.42200478276791287,50.0,62.5,0.04525743427367629
-0.31684060681353987,0.022453194251594567,0.0974348057059842,-0.6642524117504057,48.0,60.0,-0.19026957544242332
-0.9704980744388907,0.015828315923846488,0.08054376514613207,-0.6933124828676123,41.0,51.25,-0.8203330494270977
-0.2581935569342293,0.04091599400307215,0.04023329777714629,-0.37698867641274725,50.0,62.5,-0.17694810630675642
-0.15944021597983093,0.014228030559660957,0.09347110740521217,-0.6094986767348708,52.0,65.0,0.07813694788084574
-0.44681776882862057,0.018417211128222016,0.043246409057695084,-0.6392053648163395,40.0,50.0,-0.9121063956600708
-0.11346365709922956,0.0167957221907357,0.02235638603193711,-0.19922754182059954,49.0,61.25,-0.25082265139144033
2.5629456223469025,0.013311263345909131,0.011213239810813853,-0.43953670206115614,72.0,90.0,1.8891973881193045
-0.5683218953996705,0.016681125602819223,0.15195604239136032,-0.6297271226720116,44.0,55.0,-0.5593589144872134
0.4830203972131799,0.02118893901235601,0.11751209209323006,-0.17499148536518772,57.0,71.25,0.5171050705545507
-0.8168820551998501,0.008136188115553824,0.022108111936662747,-0.7576823478189423,41.0,51.25,-0.7256954805721535
