item,item_type,num_options,correct_answer,a_param,b_param,slip,distractors,distractor_weights
item1,regular_clean,4,A,1.003325636848019,0.8895660934132583,0.019005037466237596,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}"
item2,regular_clean,5,D,1.4483448004893926,-0.8103661096802326,0.004695118095252948,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}"
item3,regular_clean,5,D,1.6519409924538575,-0.14065754458033247,0.021119714202800934,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}"
item4,regular,5,A,0.9371075147252732,1.549211973808428,0.10773337135596059,"['B', 'C', 'D', 'E']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}"
item5,misleading,4,D,0.8924325009654449,0.37660351187417157,0.08335507364910356,"['A', 'B', 'C']","{'A': np.float64(0.65625), 'B': np.float64(0.18749999999999997), 'C': np.float64(0.15625000000000003)}"
item6,diluted,3,A,0.41544734434158653,-1.7556888859967512,0.03303198791173719,"['B', 'C']","{'B': np.float64(0.46153846153846156), 'C': np.float64(0.5384615384615385)}"
item7,regular,4,A,1.2841049606116401,-0.35659943026628843,0.015497309158355208,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}"
item8,misleading,5,B,0.5918923217392138,-0.12422184775501507,0.0177763054524126,"['A', 'C', 'D', 'E']","{'A': np.float64(0.24523160762942778), 'C': np.float64(0.1634877384196185), 'D': np.float64(0.0681198910081744), 'E': np.float64(0.5231607629427792)}"
item9,regular,4,D,0.6990407135695781,0.8443848198169221,0.015936296731559173,"['A', 'B', 'C']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.25000000000000006)}"
item10,regular_clean,5,B,1.200993453258775,-0.23893517357121885,0.06338371013649075,"['A', 'C', 'D', 'E']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}"
item11,regular,4,C,1.5860448745212294,-1.7518267461640609,0.024974474769836955,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}"
item12,regular,3,B,0.8388276587483331,-1.1367047933289482,0.015333999590033457,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}"
item13,regular_clean,3,C,1.684325188089524,-1.0976608475471359,0.07735933601898302,"['A', 'B']","{'A': np.float64(0.6), 'B': np.float64(0.4)}"
